dwr,county,surface_area,total_storage,usable_storage
"3-1
","Santa Cruz
","2,500",2,NA,NULL
"3-12
",Santa Barbara and,"184,000","4,000,000",NA,NULL
"3-13
",NULL,"147,200","259,000",NA,NULL
"3-14
","Santa Barbara
","81,800","2,100,000",NA,NULL
"3-15
","Santa Barbara
","204,000","2,700,000",NA,NULL
"3-16
","Santa Barbara
","9,210",NA,NA,NULL,NULL
"3-17
","Santa Barbara
","6,160","184,000","10,000"
"3-18
","Santa Barbara
","8,120","700,000","500,000"
"3-19
",San Luis Obispo,"173,00","400,000",NA,NULL
"3-2
",NULL,"76,800","2,000,000",NA,NULL
"3-20
","San Mateo
","2,032",NA,NA,NULL,NULL
"3-21
","Santa Cruz
","40,200",NA,NA,NULL,NULL
"3-22
","San Benito
","2,720",NA,NA,NULL,NULL
"3-23
","San Benito
","1,430",NA,NA,NULL,NULL
"3-24
","San Benito
","4,710",NA,NA,NULL,NULL
"3-25
","San Benito
","3,390",NA,NA,NULL,NULL
"3-26
","Santa Cruz
",7867,NA,NA,NULL,NULL
"3-27
","Santa Cruz
",774,NA,NA,NULL,NULL
"3-28
","San Benito
","24,200",NA,NA,NULL,NULL
"3-29
","San Benito
","1,420",NA,NA,NULL,NULL
3-3.01,"Santa Clara
","56,000",NA,NA,NULL,NULL
3-3.02,"San Benito
","21,000",NA,NA,NULL,NULL
3-3.03,"San Benito
","32,700",NA,NA,NULL,NULL
3-3.04,"San Benito
","74,300",NA,NA,NULL,NULL
"3-30
","San Benito
","32,200",NA,NA,NULL,NULL
"3-31
","San Benito
","2,860",NA,NA,NULL,NULL
"3-32
",NULL,"9,790",NA,NA,NULL,NULL
"3-33
",San Luis Obispo,200,NA,NA,NULL,NULL
"3-34
",San Luis Obispo,750,"6,600",NA,NULL
"3-35
",San Luis Obispo,620,NA,NA,NULL,NULL
"3-36
",San Luis Obispo,"4,480",NA,NA,NULL,NULL
"3-37
",San Luis Obispo,980,"6,600",NA,NULL
"3-38
",San Luis Obispo,530,NA,NA,NULL,NULL
"3-39
",San Luis Obispo,750,"4,600",NA,NULL
NULL,NULL,"84,400","7,240,000",NA,NULL
3-4.02,NULL,"57,500","3,690,000",NA,NULL
3-4.04,NULL,"94,000",NA,NA,NULL,NULL
NULL,NULL,"98,200",NA,NA,NULL,NULL
3-4.06,San Luis Obispo,"597,000","6,800,000",NA,NULL
3-4.08,NULL,"25,900",NA,NA,NULL,NULL
NULL,NULL,"15,400",1980,NA,NULL
3-4.10,NULL,"22,300",355,NA,NULL
"3-40
",San Luis Obispo,720,NA,NA,NULL,NULL
"3-41
",San Luis Obispo,"1,200","7,600",NA,NULL
"3-42
",San Luis Obispo,"3,200","9,600",NA,NULL
"3-43
",San Luis Obispo,"2,580",NA,NA,NULL,NULL
"3-44
",San Luis Obispo,"6,840","2,000",NA,NULL
"3-45
",San Luis Obispo,"4,700",NA,NA,NULL,NULL
"3-46
",San Luis Obispo,"2,990",NA,NA,NULL,NULL
"3-47
",San Luis Obispo,"7,320",NA,NA,NULL,NULL
"3-49
","Santa Barbara
","6,270","281,000",NA,NULL
"3-5
",NULL,"39,800",NA,NA,NULL,NULL
"3-50
","Santa Cruz
",1156,NA,NA,NULL,NULL
"3-51
","Santa Cruz
",364,NA,NA,NULL,NULL
"3-52
","Santa Cruz
",480,NA,NA,NULL,NULL
"3-53
","Santa Barbara
","3,120",NA,NA,NULL,NULL
"3-6
",NULL,"59,900",NA,NA,NULL,NULL
"3-7
",NULL,"5,160",NA,NA,NULL,NULL
"3-8
",San Luis Obispo,"6,990","112,200",NA,NULL
"3-9
",San Luis Obispo,"12,700","67,000",NA,NULL
